Sample in Buffer,Sample in Window,TRIGGER,xgmii_rxd[63:0],xgmii_rxc[7:0]
0,0,0,0707070707070707,ff
1,1,0,0707070707070707,ff
2,2,0,0707070707070707,ff
3,3,0,0707070707070707,ff
4,4,0,0707070707070707,ff
5,5,0,0707070707070707,ff
6,6,0,0707070707070707,ff
7,7,0,0707070707070707,ff
8,8,0,0707070707070707,ff
9,9,0,0707070707070707,ff
10,10,0,0707070707070707,ff
11,11,0,0707070707070707,ff
12,12,0,0707070707070707,ff
13,13,0,0707070707070707,ff
14,14,0,0707070707070707,ff
15,15,0,0707070707070707,ff
16,16,0,0707070707070707,ff
17,17,0,0707070707070707,ff
18,18,0,0707070707070707,ff
19,19,0,0707070707070707,ff
20,20,0,0707070707070707,ff
21,21,0,0707070707070707,ff
22,22,0,0707070707070707,ff
23,23,0,0707070707070707,ff
24,24,0,0707070707070707,ff
25,25,0,0707070707070707,ff
26,26,0,0707070707070707,ff
27,27,0,0707070707070707,ff
28,28,0,0707070707070707,ff
29,29,0,0707070707070707,ff
30,30,0,0707070707070707,ff
31,31,0,0707070707070707,ff
32,32,0,0707070707070707,ff
33,33,0,0707070707070707,ff
34,34,0,0707070707070707,ff
35,35,0,0707070707070707,ff
36,36,0,0707070707070707,ff
37,37,0,0707070707070707,ff
38,38,0,0707070707070707,ff
39,39,0,0707070707070707,ff
40,40,0,0707070707070707,ff
41,41,0,0707070707070707,ff
42,42,0,0707070707070707,ff
43,43,0,0707070707070707,ff
44,44,0,0707070707070707,ff
45,45,0,0707070707070707,ff
46,46,0,0707070707070707,ff
47,47,0,0707070707070707,ff
48,48,0,0707070707070707,ff
49,49,0,0707070707070707,ff
50,50,0,0707070707070707,ff
51,51,0,0707070707070707,ff
52,52,0,0707070707070707,ff
53,53,0,0707070707070707,ff
54,54,0,0707070707070707,ff
55,55,0,0707070707070707,ff
56,56,0,0707070707070707,ff
57,57,0,0707070707070707,ff
58,58,0,0707070707070707,ff
59,59,0,0707070707070707,ff
60,60,0,0707070707070707,ff
61,61,0,0707070707070707,ff
62,62,0,0707070707070707,ff
63,63,0,0707070707070707,ff
64,64,0,0707070707070707,ff
65,65,0,0707070707070707,ff
66,66,0,0707070707070707,ff
67,67,0,0707070707070707,ff
68,68,0,0707070707070707,ff
69,69,0,0707070707070707,ff
70,70,0,0707070707070707,ff
71,71,0,0707070707070707,ff
72,72,0,0707070707070707,ff
73,73,0,0707070707070707,ff
74,74,0,0707070707070707,ff
75,75,0,0707070707070707,ff
76,76,0,0707070707070707,ff
77,77,0,0707070707070707,ff
78,78,0,0707070707070707,ff
79,79,0,0707070707070707,ff
80,80,0,0707070707070707,ff
81,81,0,0707070707070707,ff
82,82,0,0707070707070707,ff
83,83,0,0707070707070707,ff
84,84,0,0707070707070707,ff
85,85,0,0707070707070707,ff
86,86,0,0707070707070707,ff
87,87,0,0707070707070707,ff
88,88,0,0707070707070707,ff
89,89,0,0707070707070707,ff
90,90,0,0707070707070707,ff
91,91,0,0707070707070707,ff
92,92,0,0707070707070707,ff
93,93,0,0707070707070707,ff
94,94,0,0707070707070707,ff
95,95,0,0707070707070707,ff
96,96,0,0707070707070707,ff
97,97,0,0707070707070707,ff
98,98,0,0707070707070707,ff
99,99,0,0707070707070707,ff
100,100,0,0707070707070707,ff
101,101,0,0707070707070707,ff
102,102,0,0707070707070707,ff
103,103,0,0707070707070707,ff
104,104,0,0707070707070707,ff
105,105,0,0707070707070707,ff
106,106,0,0707070707070707,ff
107,107,0,0707070707070707,ff
108,108,0,0707070707070707,ff
